Admission Number,Student Full Name,Class Level,Section Name,Father Name,Mother Name,Parent Phone,Student Email
ADT23SOCB1537,WANVE ON SACHIN,SY,DA,Sachin Wanve,Sunita Wanve,9810000091,
ADT23SOCB1576,Viraj Mane,SY,DA,Pramod Mane,Anita Mane,9810000092,
ADT24SOCB1701,AADINATH SUNIL SHELKE,SY,DA,Sunil Shelke,Shobha Shelke,9810000093,
ADT24SOCB1703,ADITYA MANOJ SHINDE,SY,DA,Manoj Shinde,Varsha Shinde,9810000094,
ADT24SOCB1704,AGRAWAL CHIRAG MANISHKUMAR,SY,DA,Manishkumar Agrawal,Rekha Agrawal,9810000095,
ADT24SOCB1705,AKHILESH KRISHNA MOKASHI,SY,DA,Krishna Mokashi,Savita Mokashi,9810000096,
ADT24SOCB1706,ANKESH NARAYAN KUMAVAT,SY,DA,Narayan Kumavat,Kusum Kumavat,9810000097,
ADT24SOCB1708,ATHARV NIVRUTTI KOLEKAR,SY,DA,Nivrutti Kolekar,Sunanda Kolekar,9810000098,
ADT24SOCB1709,BORSE ATHARVA SUNIL,SY,DA,Sunil Borse,Manjiri Borse,9810000099,
ADT24SOCB1710,PATIL AYUSH DNYANESHWAR,SY,DA,Dnyaneshwar Patil,Anuradha Patil,9810000100,
ADT24SOCB1711,MUNDE DIPAK NAGNATH,SY,DA,Nagnath Munde,Lata Munde,9810000101,
ADT24SOCB1712,DIYA PATIL,SY,DA,Rajendra Patil,Pooja Patil,9810000102,
ADT24SOCB1713,HEMA RAJPOOT,SY,DA,Sanjay Rajpoot,Sarita Rajpoot,9810000103,
ADT24SOCB1715,PAWAR KRISHNA NIRANJAN,SY,DA,Niranjan Pawar,Deepali Pawar,9810000104,
ADT24SOCB1716,NAYAN DATTATRAYA GORDE,SY,DA,Dattatraya Gorde,Anita Gorde,9810000105,
ADT24SOCB1717,BABAR OMKAR SATYAWAN,SY,DA,Satyawan Babar,Rekha Babar,9810000106,
ADT24SOCB1718,PETLADWALA MANSOOR MURTAZA,SY,DA,Murtaza Petladwala,Farzana Petladwala,9810000107,
ADT24SOCB1719,POOJA ANIL RUDRA,SY,DA,Anil Rudra,Shalini Rudra,9810000108,
ADT24SOCB1720,RAUNAK RAKESH DEY,SY,DA,Rakesh Dey,Anita Dey,9810000109,
ADT24SOCB1721,RISHIN PRADIP DALAL,SY,DA,Pradip Dalal,Neha Dalal,9810000110,
ADT24SOCB1722,RISHIT ROHIT VERMA,SY,DA,Rohit Verma,Reena Verma,9810000111,
ADT24SOCB1723,JADHAV RITESH VIJAYKUMAR,SY,DA,Vijaykumar Jadhav,Varsha Jadhav,9810000112,
ADT24SOCB1724,PATIL SHARVARI JAGDISH,SY,DA,Jagdish Patil,Seema Patil,9810000113,
ADT24SOCB1725,SHREYA PATWA,SY,DA,Prakash Patwa,Anita Patwa,9810000114,
ADT24SOCB1726,WANI SHREYA SAMIR,SY,DA,Samir Wani,Sonali Wani,9810000115,
ADT24SOCB1727,Shreyash Sandip Gaikwad,SY,DA,Sandip Gaikwad,Manisha Gaikwad,9810000116,
ADT24SOCB1728,DESHMUKH SHRUTI PRAVIN,SY,DA,Pravin Deshmukh,Shobha Deshmukh,9810000117,
ADT24SOCB1729,HOLAM SHRUTI SANJAY,SY,DA,Sanjay Holam,Varsha Holam,9810000118,
ADT24SOCB1730,JADHAV SHRUTI SANJIVKUMAR,SY,DA,Sanjivkumar Jadhav,Anuradha Jadhav,9810000119,
ADT24SOCB1731,SUJEET SHRIKANT PATIL,SY,DA,Shrikant Patil,Rekha Patil,9810000120,
ADT24SOCB1733,SHINDE SWAPNIL VINAYAK,SY,DA,Vinayak Shinde,Sunita Shinde,9810000121,
ADT24SOCB1736,YATISH MAHESH PATKI,SY,DA,Mahesh Patki,Priya Patki,9810000122,
ADT24SOCB1738,KARRI VENKATA SAIKIRAN,SY,DA,Venkata Rao Karri,Lakshmi Karri,9810000123,
ADT24SOCB1739,PATIL KAVERI SAGAR,SY,DA,Sagar Patil,Komal Patil,9810000124,
ADT24SOCB1740,KSHITIJ SUNIL MATERE,SY,DA,Sunil Matere,Jyoti Matere,9810000125,
ADT24SOCB1743,SAMRUDDHI JAYVANT JADHAV,SY,DA,Jayvant Jadhav,Savita Jadhav,9810000126,
ADT24SOCB1745,SHIVANSH SINHA,SY,DA,Deepak Sinha,Sonali Sinha,9810000127,
ADT24SOCB1746,TEJAS GOPAL PATIL,SY,DA,Gopal Patil,Sujata Patil,9810000128,
ADT24SOCB1749,HITESH RAJENDRA MARATHE,SY,DA,Rajendra Marathe,Vaishali Marathe,9810000129,
ADT24SOCB1752,LAKKAS VIVEK SHIVAJI,SY,DA,Shivaji Lakkas,Anita Lakkas,9810000130,
ADT24SOCB1754,MAING SHRINIVAS ASHISH,SY,DA,Ashish Maing,Poonam Maing,9810000131,
ADT24SOCB1756,SANYAM SHRENIKKUMAR SHAH,SY,DA,Shrenikkumar Shah,Alka Shah,9810000132,
ADT25SOCBD203,HARSHDEEP SINGH,SY,DA,Gurdeep Singh,Simran Kaur,9810000133,
ADT25SOCBD215,SIDDHANT VIJAY MAHAJAN,SY,DA,Vijay Mahajan,Rekha Mahajan,9810000134,
ADT25SOCBD214,MANTHAN SANKHE,SY,DA,Suresh Sankhe,Anita Sankhe,9810000135,
ADT25SOCBD205,PARTH SANJAY GIRI,SY,DA,Sanjay Giri,Sushma Giri,9810000136,
ADT25SOCBD204,MORESHWAR DINESH HINGANE,SY,DA,Dinesh Hingane,Manisha Hingane,9810000137,
ADT25SOCBD208,SUJAL BABURAO POKHARKAR,SY,DA,Baburao Pokharkar,Sarita Pokharkar,9810000138,
ADT25SOCBD210,RISHIKESH JIVAN KIRDE,SY,DA,Jivan Kirde,Sunita Kirde,9810000139,
ADT25SOCBD206,SAHIL GENBHAU MORE,SY,DA,Genbhau More,Shobha More,9810000140,
ADT25SOCBD209,VAISHNAVI VIJAYKUMAR KUMDALE,SY,DA,Vijaykumar Kumdale,Lata Kumdale,9810000141,
ADT25SOCBD211,SAYALI KAKDE,SY,DA,Shankar Kakde,Rekha Kakde,9810000142,
ADT24SOCB1702,ADITI ANANDPRAKASH SINHA,SY,SMAD,Anandprakash Sinha,Neelam Sinha,9810000143,
ADT24SOCB1707,JAGTAP ATHARAV MHASKU,SY,SMAD,Mhasku Jagtap,Priyanka Jagtap,9810000144,
ADT24SOCB1714,ISHITA KAILAS TAKALE,SY,SMAD,Kailas Takale,Leena Takale,9810000145,
ADT24SOCB1732,SWAPNIL BHARAT MUNDE,SY,SMAD,Bharat Munde,Chhaya Munde,9810000146,
ADT24SOCB1734,TANVI AJIT KADAM,SY,SMAD,Ajit Kadam,Sonal Kadam,9810000147,
ADT24SOCB1742,SAHIL RAVINDRA NIMBORKAR,SY,SMAD,Ravindra Nimborkar,Shilpa Nimborkar,9810000148,
ADT24SOCB1748,AMOGH ANIL DHAMDHERE,SY,SMAD,Anil Dhamdhere,Savita Dhamdhere,9810000149,
ADT24SOCB1751,PRAVEEN KUMAR,SY,SMAD,Ramesh Kumar,Anita Kumar,9810000150,
ADT24SOCB1753,SWARAJ BABURAO GOLE,SY,SMAD,Baburao Gole,Anuradha Gole,9810000151,
ADT24SOCB1755,GANGANI VIVEKKUMAR NILESHBHAI,SY,SMAD,Nileshbhai Gangani,Reena Gangani,9810000152,
ADT25SOCBD201,ATHARVA YOGENDRA GITE,SY,SMAD,Yogendra Gite,Varsha Gite,9810000153,
ADT25SOCBD202,DNYANESH DILIP AMRUTKAR,SY,SMAD,Dilip Amrutkar,Sunita Amrutkar,9810000154,
ADT25SOCBD207,SHRADDHA KIRAN NERPAGAR,SY,SMAD,Kiran Nerpagar,Manisha Nerpagar,9810000155,
ADT25SOCBD212,YADNESH S. PISOLKAR,SY,SMAD,Sachin Pisolkar,Deepa Pisolkar,9810000156,
ADT25SOCBD213,SAMRUDDHI RANASHING,SY,SMAD,Ranashing Patil,Sulakshana Patil,9810000157,
MITU22BTIT0010,ADITYA DHAIRYASINGH PISAL,SY,SMAD,Dhairyasingh Pisal,Sharmila Pisal,9810000158,
